,average_score,70%,80%,90%,95%,99%
TCGA-04-1331-01,5.07344059886546,-0.0619364474785241,-0.054309546394446,-0.0416335294303218,-0.02764541743238,0.0707422578099286
TCGA-04-1332-01,0.917106046337479,-0.04948116733565,-0.0431087473386141,-0.0314679561777064,-0.0133008087182695,0.0471664840117764
TCGA-04-1336-01,0.417921059545042,-0.0644412485240217,-0.0574934140899684,-0.0440391641528475,-0.0246352501710173,0.0525723798759226
TCGA-04-1342-01,0.0196923260901389,-0.0389280661740032,-0.0194470826125642,-0.00105680212220316,0.01605924875163,0.0783469839388342
TCGA-04-1343-01,1.29316928680034,-0.065158490447194,-0.0570337878494461,-0.0418474426619207,-0.0216288951857618,0.0905137942529538
TCGA-04-1346-01,0.881343475987137,-0.0513881118262132,-0.0429187454769835,-0.0264734158858446,-0.00486155629590933,0.0847357788025218
TCGA-04-1347-01,0.601606208216305,-0.0578803335661498,-0.0518993529679729,-0.0383816708836481,-0.0224384144641352,0.073035762669788
TCGA-04-1348-01,0.608608183953764,-0.0562952610099472,-0.048819377857754,-0.0361338093255342,-0.0198509867288776,0.0618060834524476
TCGA-04-1349-01,1.52212660121143,-0.0406013666569206,-0.0330255005150545,-0.0177210825704405,0.00378058473431721,0.0984518460902837
TCGA-04-1356-01,-0.0563809902652249,-0.0625942583577928,-0.05635650551992,-0.0449067762717729,-0.0320119148667768,0.0172623764549381
TCGA-04-1361-01,0.358559941780742,-0.0661641342267649,-0.0591338528936238,-0.0473649924317661,-0.0302744297651451,0.03267690250642
TCGA-04-1362-01,1.14183300784295,-0.0463877492067341,-0.0391880779561147,-0.0243819813854659,-0.00242822751170003,0.0792870844275265
TCGA-04-1367-01,0.499253451116955,-0.0731799583429445,-0.0661868033589939,-0.0534543606242871,-0.0397911518248247,0.0461876282691361
TCGA-04-1369-01,0.892996634278244,-0.0510730103440775,-0.0435611457997953,-0.0305038328959571,-0.0122364008997226,0.0777597583769198
TCGA-04-1516-01,1.44667208008419,-0.0525799422573536,-0.0445947540524377,-0.0308969943321338,-0.0121945006808611,0.0953745818370419
TCGA-04-1542-01,1.51593983542177,-0.0439472152372972,-0.0354058330627296,-0.0207816663128532,0.00513146181422996,0.0877311797036706
TCGA-04-1638-01,-0.0648422922964001,-0.0572612261321681,-0.0494171009550228,-0.036869374546997,-0.0241117164903309,0.041660023773366
TCGA-04-1644-01,0.723719431843549,-0.054392539895084,-0.0477236830356993,-0.03480306120332,-0.019402119959451,0.0603311043885966
TCGA-04-1646-01,1.48298173594705,-0.0403142617794751,-0.0298803743514581,-0.0131436401362649,0.0109539211095366,0.0931693765714878
TCGA-04-1648-01,-0.0460976372557306,-0.0536362474911592,-0.0477229019679275,-0.038036303600353,-0.026089047917945,0.0151114030256779
TCGA-04-1649-01,0.892301469777403,-0.0509780977243794,-0.0432467259456094,-0.0293887836725156,-0.0135177390587785,0.064407060897579
TCGA-04-1651-01,0.720825969166442,-0.0554132378776945,-0.0493960079421787,-0.0367897998953511,-0.0191499537381847,0.0746889127285967
TCGA-04-1652-01,1.1726360793446,-0.0485130505718903,-0.0411882263916634,-0.0274640558001417,-0.00934028711498016,0.0742893996552244
TCGA-04-1655-01,2.08468520629615,-0.039366636546738,-0.0300539456035362,-0.0099163734144133,0.012626841823618,0.122540832812243
TCGA-09-0366-01,1.50615198705784,-0.0448374857178235,-0.0359369491792296,-0.0200137954060478,0.000969720299431667,0.0996915809746408
TCGA-09-0369-01,0.563021673634992,-0.0730995696465117,-0.06635802893995,-0.0537480732156083,-0.0359996546794207,0.062595658681001
TCGA-09-1664-01,2.01675357671813,-0.0388725511778311,-0.0305252023443215,-0.0163140783611622,-0.000110198484265977,0.0672361726841834
TCGA-09-1670-01,2.26967137490029,-0.0464809756739695,-0.0380311608156207,-0.0227423590966674,-0.00701391239798658,0.0665986014471298
TCGA-09-1672-01,0.0265439154201963,-0.0272626347545927,-0.0156670591509895,0.0012029776478784,0.0184365033072496,0.0871681439537612
TCGA-09-1673-01,0.590696823370564,-0.0576773752284413,-0.0498644853879066,-0.0339560780654829,-0.0184494998842141,0.0645911164349016
TCGA-09-1674-01,0.253836963326063,-0.0707094437146594,-0.0625602519751676,-0.048507054363366,-0.0301727347532297,0.0806175313206336
TCGA-09-1675-01,0.416925174999997,-0.0637196621410704,-0.0574206691997194,-0.0444955966986464,-0.027497842975977,0.0409708639292812
TCGA-09-2044-01,0.49381818162426,-0.0599517441156523,-0.0519088160058288,-0.0375890200070919,-0.0210647496903215,0.0868106713006838
TCGA-09-2045-01,0.59547726478798,-0.0570085364969916,-0.0478830581104666,-0.035273515579204,-0.0187335263941365,0.0681771037692918
TCGA-09-2049-01,0.358747641748475,-0.0663194987570892,-0.0579377709878026,-0.0435733912886625,-0.0240443578414938,0.0785698497890528
TCGA-09-2050-01,0.729544224120076,-0.0678908661650022,-0.0605039726022854,-0.0479651586765731,-0.0327624678210602,0.081504147989981
TCGA-09-2053-01,4.13864800576763,-0.0368191288767394,-0.0271429591941253,-0.011114841625656,0.00860625712712028,0.102166263068652
TCGA-09-2056-01,0.550660580988008,-0.0692642546995197,-0.059710621570666,-0.0496053605915807,-0.0352545721988091,0.0340464095048782
TCGA-10-0926-01,0.723464720688022,-0.0535789597038119,-0.0455450878538677,-0.0310781850019527,-0.0113585460453653,0.0499427588175233
TCGA-10-0930-01,0.0941484594064825,-0.0892200957066676,-0.0835048177241653,-0.0713397986056016,-0.0519919817900704,0.0728698807430859
